NAME,ADDRESS,POSTALCODE,DESCRIPTION
HDB,Blk 709 Jurong West St 71 #01-34 ,640709,Civil Defence Public Shelter (HDB)
HDB,Blk 711 Jurong West St 71 #B1-11 ,640711,Civil Defence Public Shelter (HDB)
HDB,Blk 713 Jurong West St 71 #B1-37 ,640713,Civil Defence Public Shelter (HDB)
HDB,Blk 714 Jurong West St 71 #B1-147 ,640714,Civil Defence Public Shelter (HDB)
HDB,Blk 715 Jurong West St 71 #B1-51 ,640715,Civil Defence Public Shelter (HDB)
HDB,Blk 716 Jurong West St 71 #B1-73 ,640716,Civil Defence Public Shelter (HDB)
HDB,Blk 717 Jurong West St 71 #B1-107 ,640717,Civil Defence Public Shelter (HDB)
HDB,Blk 718 Jurong West St 71 #B1-99 ,640718,Civil Defence Public Shelter (HDB)
HDB,Blk 720 Jurong West Ave 5 #B1-94 ,640720,Civil Defence Public Shelter (HDB)
HDB,Blk 721 Jurong West St 81 #B1-102 ,640721,Civil Defence Public Shelter (HDB)
HDB,Blk 722 Jurong West St 71 #B1-132 ,640722,Civil Defence Public Shelter (HDB)
HDB,Blk 723 Jurong West Ave 5 #B1-144 ,640723,Civil Defence Public Shelter (HDB)
HDB,Blk 724 Jurong West St 72 #B1-13 ,640724,Civil Defence Public Shelter (HDB)
HDB,Blk 725 Jurong West Ave 5 #B1-164 ,640725,Civil Defence Public Shelter (HDB)
HDB,Blk 727 Jurong West Ave 5 #B1-182 ,640727,Civil Defence Public Shelter (HDB)
HDB,Blk 728 Jurong West Ave 5 #B1-198 ,640728,Civil Defence Public Shelter (HDB)
HDB,Blk 729 Jurong West Ave 5 #B1-214 ,640729,Civil Defence Public Shelter (HDB)
HDB,Blk 730 Jurong West St 72 #B1-45 ,640730,Civil Defence Public Shelter (HDB)
HDB,Blk 731 Jurong West St 72 #B1-29 ,640731,Civil Defence Public Shelter (HDB)
HDB,Blk 732 Jurong West St 73 #01-48 ,640732,Civil Defence Public Shelter (HDB)
HDB,Blk 735 Jurong West St 75 #01-19 ,640735,Civil Defence Public Shelter (HDB)
HDB,Blk 743 Jurong West St 73 #B1-03 ,640743,Civil Defence Public Shelter (HDB)
HDB,Blk 745 Jurong West St 73 #B1-57 ,640745,Civil Defence Public Shelter (HDB)
HDB,Blk 746 Jurong West St 73 #B1-111 ,640746,Civil Defence Public Shelter (HDB)
HDB,Blk 748 Jurong West St 73 #B1-127 ,640748,Civil Defence Public Shelter (HDB)
HDB,Blk 749 Jurong West St 73 #B1-145 ,640749,Civil Defence Public Shelter (HDB)
HDB,Blk 751 Jurong West St 73 #B1-175 ,640751,Civil Defence Public Shelter (HDB)
HDB,Blk 760 Jurong West St 74 #01-08 ,640760,Civil Defence Public Shelter (HDB)
HDB,Blk 810 Jurong West St 81 #01-88 ,640810,Civil Defence Public Shelter (HDB)
HDB,Blk 811 Jurong West St 81 #01-64 ,640811,Civil Defence Public Shelter (HDB)
HDB,Blk 812 Jurong West St 81 #B1-164,640812,Civil Defence Public Shelter (HDB)
HDB,Blk 813 Jurong West St 81 #B1-184 ,640813,Civil Defence Public Shelter (HDB)
HDB,Blk 814 Jurong West St 81 #B1-204,640814,Civil Defence Public Shelter (HDB)
HDB,Blk 815 Jurong West St 81 #B1-222 ,640815,Civil Defence Public Shelter (HDB)
HDB,Blk 816 Jurong West St 81 #01-44 ,640816,Civil Defence Public Shelter (HDB)
HDB,Blk 821 Jurong West St 81 #B1-490 ,640821,Civil Defence Public Shelter (HDB)
HDB,Blk 823 Jurong West St 81 #B1-462 ,640823,Civil Defence Public Shelter (HDB)
HDB,Blk 824 Jurong West St 81 #B1-444 ,640824,Civil Defence Public Shelter (HDB)
HDB,Blk 826 Jurong West St 81 #B1-424 ,640826,Civil Defence Public Shelter (HDB)
HDB,Blk 835 Jurong West St 81 #B1-45 ,640835,Civil Defence Public Shelter (HDB)
HDB,Blk 836 Jurong West St 81 #01-65 ,640836,Civil Defence Public Shelter (HDB)
HDB,Blk 838 Jurong West St 81 #B1-153 ,640838,Civil Defence Public Shelter (HDB)
HDB,Blk 840 Jurong West St 81 #01-107 ,640840,Civil Defence Public Shelter (HDB)
HDB,Blk 845 Jurong West St 81 #01-229 ,640845,Civil Defence Public Shelter (HDB)
HDB,Blk 850 Jurong West St 81 #01-267 ,640850,Civil Defence Public Shelter (HDB)
HDB,Blk 852 Jurong West St 81 #01-303 ,640852,Civil Defence Public Shelter (HDB)
HDB,Blk 854 Jurong West St 81 #01-502 ,640854,Civil Defence Public Shelter (HDB)
HDB,Blk 859 Jurong West St 81 #01-572 ,640859,Civil Defence Public Shelter (HDB)
HDB,Blk 863 Jurong West St 81 #01-515 ,640863,Civil Defence Public Shelter (HDB)
HDB,Blk 188 Bukit Batok West Ave 6 #01-07 ,650188,Civil Defence Public Shelter (HDB)
HDB,Blk 285 Bukit Batok East Ave 3 #01-427 ,650285,Civil Defence Public Shelter (HDB)
HDB,Blk 290D Bukit Batok East Ave 3 #01-370 ,650290,Civil Defence Public Shelter (HDB)
HDB,Blk 625 Bukit Batok Central #01-386 ,650625,Civil Defence Public Shelter (HDB)
HDB,Blk 291B Bukit Batok #01-39 ,651291,Civil Defence Public Shelter (HDB)
HDB,Blk 288C Bukit Batok St 25 #01-28 ,652288,Civil Defence Public Shelter (HDB)
HDB,Blk 290A Bukit Batok St 24 #01-87 ,652290,Civil Defence Public Shelter (HDB)
HDB,Blk 289E Bukit Batok St 25 #01-160 ,654289,Civil Defence Public Shelter (HDB)
HDB,Blk 436 Fajar Road #B1-384 ,670436,Civil Defence Public Shelter (HDB)
HDB,Blk 438 Fajar Road #B1-412 ,670438,Civil Defence Public Shelter (HDB)
HDB,Blk 439 Fajar Road #B1-428 ,670439,Civil Defence Public Shelter (HDB)
HDB,Blk 441 Fajar Road #B1-466 ,670441,Civil Defence Public Shelter (HDB)
HDB,Blk 442 Fajar Rd #01-482 ,670442,Civil Defence Public Shelter (HDB)
HDB,Blk 451 Fajar Road #01-726 ,670451,Civil Defence Public Shelter (HDB)
HDB,Blk 453 Fajar Rd #01-702 ,670453,Civil Defence Public Shelter (HDB)
HDB,Blk 501 Jelapang Road #01-420 ,670501,Civil Defence Public Shelter (HDB)
HDB,Blk 505 Jelapang Road #01-448 ,670505,Civil Defence Public Shelter (HDB)
HDB,Blk 171A Gangsa Road #01-50,671171,Civil Defence Public Shelter (HDB)
HDB,Blk 150 Jalan Teck Whye #01-43,680150,Civil Defence Public Shelter (HDB)
HDB,Blk 151 Jalan Teck Whye #01-29 ,680151,Civil Defence Public Shelter (HDB)
HDB,Blk 163 Jalan Teck Whye #01-220 ,680163,Civil Defence Public Shelter (HDB)
HDB,Blk 202 Choa Chu Kang Ave 1 #B1-63 ,680202,Civil Defence Public Shelter (HDB)
HDB,Blk 203 Choa Chu Kang Ave 1 #B1-41 ,680203,Civil Defence Public Shelter (HDB)
HDB,Blk 204 Choa Chu Kang Ave 1 #B1-15 ,680204,Civil Defence Public Shelter (HDB)
HDB,Blk 207 Choa Chu Kang Central #B1-08 ,680207,Civil Defence Public Shelter (HDB)
HDB,Blk 208 Choa Chu Kang Central #B1-82 ,680208,Civil Defence Public Shelter (HDB)
HDB,Blk 210 Choa Chu Kang Central #B1-162 ,680210,Civil Defence Public Shelter (HDB)
HDB,Blk 211 Choa Chu Kang Central #B1-120 ,680211,Civil Defence Public Shelter (HDB)
HDB,Blk 214 Choa Chu Kang Central #B1-230 ,680214,Civil Defence Public Shelter (HDB)
HDB,Blk 215 Choa Chu Kang Central #B1-186 ,680215,Civil Defence Public Shelter (HDB)
HDB,Blk 217 Choa Chu Kang Central #B1-212 ,680217,Civil Defence Public Shelter (HDB)
HDB,Blk 218 Choa Chu Kang Central #B1-250 ,680218,Civil Defence Public Shelter (HDB)
HDB,Blk 219 Choa Chu Kang Central #B1-256 ,680219,Civil Defence Public Shelter (HDB)
HDB,Blk 220 Choa Chu Kang Central #B1-266,680220,Civil Defence Public Shelter (HDB)
HDB,Blk 230 Choa Chu Kang Central #B1-163 ,680230,Civil Defence Public Shelter (HDB)
HDB,Blk 232 Choa Chu Kang Central #B1-127 ,680232,Civil Defence Public Shelter (HDB)
HDB,Blk 233 Choa Chu Kang Central #B1-97 ,680233,Civil Defence Public Shelter (HDB)
HDB,Blk 235 Choa Chu Kang Central #B1-25 ,680235,Civil Defence Public Shelter (HDB)
HDB,Blk 237 Choa Chu Kang Central #B1-63 ,680237,Civil Defence Public Shelter (HDB)
HDB,Blk 252 Choa Chu Kang Ave 2 #01-304 ,680252,Civil Defence Public Shelter (HDB)
HDB,Blk 273 Choa Chu Kang Ave 2 #01-241 ,680273,Civil Defence Public Shelter (HDB)
HDB,Blk 284 Choa Chu Kang Ave 3 #B1-330 ,680284,Civil Defence Public Shelter (HDB)
HDB,Blk 285 Choa Chu Kang Ave 3 #B1-298 ,680285,Civil Defence Public Shelter (HDB)
HDB,Blk 286 Choa Chu Kang Ave 3 #B1-318 ,680286,Civil Defence Public Shelter (HDB)
HDB,Blk 287 Choa Chu Kang Ave 2 #B1-203 ,680287,Civil Defence Public Shelter (HDB)
HDB,Blk 288 Choa Chu Kang Ave 3 #B1-288 ,680288,Civil Defence Public Shelter (HDB)
HDB,Blk 289 Choa Chu Kang Ave 3 #B1-268,680289,Civil Defence Public Shelter (HDB)
HDB,Blk 294 Choa Chu Kang Ave 3 #B1-177 ,680294,Civil Defence Public Shelter (HDB)
HDB,Blk 295 Choa Chu Kang Ave 2 #B1-157 ,680295,Civil Defence Public Shelter (HDB)
HDB,Blk 296 Choa Chu Kang Ave 2 #01-12 ,680296,Civil Defence Public Shelter (HDB)
HDB,Blk 297C Choa Chu Kang Ave 2 #01-96 ,680297,Civil Defence Public Shelter (HDB)
HDB,Blk 340 Choa Chu Kang Loop #01-09 ,680340,Civil Defence Public Shelter (HDB)
HDB,Blk 445 Choa Chu Kang Ave 4 #01-307 ,680445,Civil Defence Public Shelter (HDB)
HDB,Blk 447 Choa Chu Kang Ave 4 #01-371 ,680447,Civil Defence Public Shelter (HDB)
HDB,Blk 504 Choa Chu Kang St 51 #01-173,680504,Civil Defence Public Shelter (HDB)
HDB,Blk 505 Choa Chu Kang St 51 #01-191 ,680505,Civil Defence Public Shelter (HDB)
HDB,Blk 516 Choa Chu Kang St 51 #01-66 ,680516,Civil Defence Public Shelter (HDB)
HDB,Blk 517 Choa Chu Kang St 51 #01-30 ,680517,Civil Defence Public Shelter (HDB)
HDB,Blk 530 Choa Chu Kang St 51 #01-323 ,680530,Civil Defence Public Shelter (HDB)
HDB,Blk 541 Choa Chu Kang St 52 #01-46 ,680541,Civil Defence Public Shelter (HDB)
HDB,Blk 544 Choa Chu Kang St 52 #01-88 ,680544,Civil Defence Public Shelter (HDB)
HDB,Blk 549 Choa Chu Kang St 52 #01-13 ,680549,Civil Defence Public Shelter (HDB)
HDB,Blk 555 Choa Chu Kang North 6 #01-34,680555,Civil Defence Public Shelter (HDB)
HDB,Blk 561 Choa Chu Kang North 6 #01-82 ,680561,Civil Defence Public Shelter (HDB)
HDB,Blk 601 Choa Chu Kang St 62 #01-09 ,680601,Civil Defence Public Shelter (HDB)
HDB,Blk 610 Choa Chu Kang St 62 #01-161 ,680610,Civil Defence Public Shelter (HDB)
HDB,Blk 614 Choa Chu Kang St 62 #01-233,680614,Civil Defence Public Shelter (HDB)
HDB,Blk 620 Choa Chu Kang St 62 #01-18 ,680620,Civil Defence Public Shelter (HDB)
HDB,Blk 626 Choa Chu Kang St 62 #01-180 ,680626,Civil Defence Public Shelter (HDB)
HDB,Blk 639 Choa Chu Kang St 64 #01-31 ,680639,Civil Defence Public Shelter (HDB)
HDB,Blk 642 Choa Chu Kang Street  64 #01-65 ,680642,Civil Defence Public Shelter (HDB)
HDB,Blk 660 Choa Chu Kang Crescent #01-93 ,680660,Civil Defence Public Shelter (HDB)
HDB,Blk 704 Choa Chu Kang St 53 #01-80 ,680704,Civil Defence Public Shelter (HDB)
HDB,Blk 707 Choa Chu Kang St 53 #01-118 ,680707,Civil Defence Public Shelter (HDB)
HDB,Blk 753 Choa Chu Kang North 5 #01-213 ,680753,Civil Defence Public Shelter (HDB)
HDB,Blk 759 Choa Chu Kang North 5 #01-145 ,680759,Civil Defence Public Shelter (HDB)
HDB,Blk 764 Choa Chu Kang North 5 #01-275 ,680764,Civil Defence Public Shelter (HDB)
HDB,Blk 768 Choa Chu Kang St 54 #01-29 ,680768,Civil Defence Public Shelter (HDB)
HDB,Blk 785 Choa Chu Kang Drive #01-223 ,680785,Civil Defence Public Shelter (HDB)
HDB,Blk 790 Choa Chu Kang North 6 #01-238 ,680790,Civil Defence Public Shelter (HDB)
HDB,Blk 632A Choa Chu Kang North 6 #B1-01 ,681632,Civil Defence Public Shelter (HDB)
HDB,Blk 351 Woodlands Ave 1 #01-721 ,730351,Civil Defence Public Shelter (HDB)
HDB,Blk 355 Woodlands Ave 1 #01-707 ,730355,Civil Defence Public Shelter (HDB)
HDB,Blk 363 Woodlands Ave 5 #01-440,730363,Civil Defence Public Shelter (HDB)
HDB,Blk 368 Woodlands Ave 1 #01-807 ,730368,Civil Defence Public Shelter (HDB)
HDB,Blk 401 Woodlands St 41 #01-30 ,730401,Civil Defence Public Shelter (HDB)
HDB,Blk 408 Woodlands St 41 #01-09 ,730408,Civil Defence Public Shelter (HDB)
HDB,Blk 418 Woodlands St 41 #01-131 ,730418,Civil Defence Public Shelter (HDB)
HDB,Blk 424 Woodlands St 41 #01-340,730424,Civil Defence Public Shelter (HDB)
HDB,Blk 601 Woodlands Dr 42 #01-83 ,730601,Civil Defence Public Shelter (HDB)
HDB,Blk 605 Woodlands Dr 42 #01-105 ,730605,Civil Defence Public Shelter (HDB)
HDB,Blk 702 Woodlands Dr 40 #01-88 ,730702,Civil Defence Public Shelter (HDB)
HDB,Blk 710 Woodlands Dr 40 #01-45 ,730710,Civil Defence Public Shelter (HDB)
HDB,Blk 711 Woodlands Dr 40 #01-65,730711,Civil Defence Public Shelter (HDB)
HDB,Blk 717 Woodlands Dr 70 #01-114 ,730717,Civil Defence Public Shelter (HDB)
HDB,Blk 718 Woodlands Ave 6 #01-684 ,730718,Civil Defence Public Shelter (HDB)
HDB,Blk 721 Woodlands Circle #01-122 ,730721,Civil Defence Public Shelter (HDB)
HDB,Blk 724 Woodlands Ave 6 #01-502 ,730724,Civil Defence Public Shelter (HDB)
HDB,Blk 729 Woodlands Circle #01-47 ,730729,Civil Defence Public Shelter (HDB)
HDB,Blk 738 Woodlands Circle #01-373 ,730738,Civil Defence Public Shelter (HDB)
HDB,Blk 740 Woodlands Circle #01-413 ,730740,Civil Defence Public Shelter (HDB)
HDB,Blk 743 Woodlands Circle #01-465,730743,Civil Defence Public Shelter (HDB)
HDB,Blk 747 Woodlands Circle #01-708,730747,Civil Defence Public Shelter (HDB)
HDB,Blk 749 Woodlands Circle #01-604,730749,Civil Defence Public Shelter (HDB)
HDB,Blk 756 Woodlands Ave 4 #01-283 ,730756,Civil Defence Public Shelter (HDB)
HDB,Blk 759 Woodlands Ave 6 #01-32 ,730759,Civil Defence Public Shelter (HDB)
HDB,Blk 763 Woodlands Ave 6 #01-70 ,730763,Civil Defence Public Shelter (HDB)
HDB,Blk 791 Woodlands Ave 6 #01-603 ,730791,Civil Defence Public Shelter (HDB)
HDB,Blk 792 Woodlands Ave 7 #01-675 ,730792,Civil Defence Public Shelter (HDB)
HDB,Blk 795 Woodlands Dr 72 #01-13 ,730795,Civil Defence Public Shelter (HDB)
HDB,Blk 810 Woodlands St 81 #01-191A ,730810,Civil Defence Public Shelter (HDB)
HDB,Blk 827 Woodlands St 81 #01-92 ,730827,Civil Defence Public Shelter (HDB)
HDB,Blk 846 Woodlands Ave 4 #01-612 ,730846,Civil Defence Public Shelter (HDB)
HDB,Blk 851 Woodlands Street 83 #01-18 ,730851,Civil Defence Public Shelter (HDB)
HDB,Blk 859 Woodlands St 83 #01-140 ,730859,Civil Defence Public Shelter (HDB)
HDB,Blk 871 Woodlands Street 81 #01-292 ,730871,Civil Defence Public Shelter (HDB)
HDB,Blk 876 Woodlands Ave 9 #01-256,730876,Civil Defence Public Shelter (HDB)
HDB,Blk 880 Woodlands St 82 #01-08,730880,Civil Defence Public Shelter (HDB)
HDB,Blk 892A Woodlands Dr 50 #01-153 ,730892,Civil Defence Public Shelter (HDB)
HDB,Blk 897A Woodlands Dr 50 #01-50,730897,Civil Defence Public Shelter (HDB)
HDB,Blk 899A Woodlands Dr 50 #01-250 ,730899,Civil Defence Public Shelter (HDB)
HDB,Blk 894B Woodlands Dr 50 #01-49 ,731894,Civil Defence Public Shelter (HDB)
HDB,Blk 895B Woodlands Dr 50 #01-24 ,731894,Civil Defence Public Shelter (HDB)
HDB,Blk 899C Woodlands Dr 50 #01-296 ,732899,Civil Defence Public Shelter (HDB)
HDB,Blk 310 Yishun Ring Road #01-1230 ,760310,Civil Defence Public Shelter (HDB)
Labrador Park MRT Station (Circle Line),701 Telok Blangah Road,109029,Civil Defence Public Shelter (MRT Station)
Haw Par Villa MRT Station (Circle Line),270 Pasir Panjang Road,117396,Civil Defence Public Shelter (MRT Station)
Buona Vista MRT Station (Circle Line),150 North Buona Vista Road,139350,Civil Defence Public Shelter (MRT Station)
Tiong Bahru MRT Station(East-West Line),300 Tiong Bahru Road,168731,Civil Defence Public Shelter (MRT Station)
City Hall MRT Station (North-South Line),150 North Bridge Road,179100,Civil Defence Public Shelter (MRT Station)
Bugis MRT Station (East-West Line),220 Victoria Street,188022,Civil Defence Public Shelter (MRT Station)
Lavender MRT Station(East-West Line),50 Kallang Road,208699,Civil Defence Public Shelter (MRT Station)
Farrer Park MRT Station (North-East Line),250 Race Course Road,218703,Civil Defence Public Shelter (MRT Station)
Newton MRT Station (North-South Line),49 Scotts Road,228234,Civil Defence Public Shelter (MRT Station)
Little India MRT Station (North-East Line),60 Bukit Timah Road,229900,Civil Defence Public Shelter (MRT Station)
Somerset MRT Station(North-South Line),1 Somerset Road,238162,Civil Defence Public Shelter (MRT Station)
Botanic Gardens MRT Station (Circle Line),491 Bukit Timah Road,259777,Civil Defence Public Shelter (MRT Station)
Tan Kah Kee MRT Station (Downtown Line),651 Bukit Timah Road,266268,Civil Defence Public Shelter (MRT Station)
Sixth Avenue MRT Station (Downtown Line),777 Bukit Timah Road,269784,Civil Defence Public Shelter (MRT Station)
Caldecott MRT Station (Circle Line),38 Toa Payoh Rise,298113,Civil Defence Public Shelter (MRT Station)
Braddell MRT Station (North-South Line),377 Lorong 1 Toa Payoh,319756,Civil Defence Public Shelter (MRT Station)
Boon Keng MRT Station (North-East Line),900 Serangoon Road,328260,Civil Defence Public Shelter (MRT Station)
Geylang Bahru MRT Station  (Downtown Line),"541 Kallang Bahru, #B2-01",339355,Civil Defence Public Shelter (MRT Station)
Potong Pasir MRT Station (North-East Line),55 Upper Serangoon Road,347694,Civil Defence Public Shelter (MRT Station)
Woodleigh MRT Station (North-East Line),400 Upper Serangoon Road,347695,Civil Defence Public Shelter (MRT Station)
Macpherson MRT Station (Circle Line),10 Circuit Link,378956,Civil Defence Public Shelter (MRT Station)
Dakota MRT Station (Circle Line),201 Old Airport Road,397973,Civil Defence Public Shelter (MRT Station)
Mountbatten MRT Station (Circle Line),301 Mountbatten Road,398006,Civil Defence Public Shelter (MRT Station)
Bedok Reservoir MRT Station (Downtown Line),371 Bedok North Avenue 3,469724,Civil Defence Public Shelter (MRT Station)
Bedok North MRT Station (Downtown Line),"651 Bedok North Road, #B1-01",479481,Civil Defence Public Shelter (MRT Station)
Expo MRT Station (Downtown Line),"2 Expo Drive, #B2-01",485985,Civil Defence Public Shelter (MRT Station)
Upper Changi MRT Station (Downtown Line),"690 Upper Changi Road East, #B3-01",485990,Civil Defence Public Shelter (MRT Station)
Tampines MRT Station (Downtown Line),15 Tampines Central 1,529544,Civil Defence Public Shelter (MRT Station)
Tampines East MRT Station (Downtown Line),20 Tampines Avenue 7,529623,Civil Defence Public Shelter (MRT Station)
Tampines West MRT Station (Downtown Line),2 Tampines Ave 4,529683,Civil Defence Public Shelter (MRT Station)
Kovan MRT Station (North-East Line),900 Upper Serangoon Road,534799,Civil Defence Public Shelter (MRT Station)
Hougang MRT Station (North-East Line),80 Hougang Central,538758,Civil Defence Public Shelter (MRT Station)
Bartley MRT Station (Circle Line),90 Bartley Road,539788,Civil Defence Public Shelter (MRT Station)
Buangkok  MRT Station (North-East Line),10 Sengkang Central,545061,Civil Defence Public Shelter (MRT Station)
Lorong Chuan MRT Station (Circle Line),150 Serangoon Avenue 3,554533,Civil Defence Public Shelter (MRT Station)
Serangoon MRT Station (North-East Line),21 Serangoon Central,556082,Civil Defence Public Shelter (MRT Station)
Mayflower MRT Station (Thomson-East Coast Line),91 Ang Mo Kio Ave 4,569900,Civil Defence Public Shelter (MRT Station)
Bright Hill MRT Station (Thomson-East Coast Line),100 Sin Ming Ave ,575737,Civil Defence Public Shelter (MRT Station)
Bishan MRT Station (Circle Line),200 Bishan Road,579827,Civil Defence Public Shelter (MRT Station)
Beauty World MRT Station (Downtown Line),101 Upper Bukit Timah Road,588216,Civil Defence Public Shelter (MRT Station)
King Albert Park MRT Station (Downtown Line),2 Blackmore Drive,599987,Civil Defence Public Shelter (MRT Station)
Hillview MRT Station (Downtown Line),510 Upper Bukit Timah Road,678211,Civil Defence Public Shelter (MRT Station)
Bukit Panjang MRT Station (Downtown Line),950 Upper Bukit Timah Road,678213,Civil Defence Public Shelter (MRT Station)
Cashew MRT Station (Downtown Line),1 Cashew Road,679696,Civil Defence Public Shelter (MRT Station)
Woodlands MRT Station (Thomson-East Coast Line),11 Woodlands Square,737736,Civil Defence Public Shelter (MRT Station)
Lentor MRT Station (Thomson-East Coast Line),1 Lentor Drive ,789361,Civil Defence Public Shelter (MRT Station)
Marina Bay MRT Station (North-South Line),21 Park Street,18925,Civil Defence Public Shelter (MRT Station)
Raffles Place MRT Station (North-South Line),5 Raffles Place,48618,Civil Defence Public Shelter (MRT Station)
Chinatown MRT Station (North-East Line),151 New Bridge Road,59443,Civil Defence Public Shelter (MRT Station)
Clarke Quay MRT Station (North-East Line),10 Eu Tong Sen Street,59815,Civil Defence Public Shelter (MRT Station)
Outram Park MRT Station (North-East Line),300 Eu Tong Sen Street,59816,Civil Defence Public Shelter (MRT Station)
Habourfront MRT Station (North-East Line),81 Telok Blangah Road,98867,Civil Defence Public Shelter (MRT Station)
Mount Pleasant MRT Station (Thomson-East Coast Line),14 Denham Road,299781,Civil Defence Public Shelter (MRT Station)
Gardens By The Bay MRT Station (Thomson-East Coast Line),11 Marina Mall,19396,Civil Defence Public Shelter (MRT Station)
Tanjong Rhu MRT Station (Thomson-East Coast Line),2 Tanjong Rhu Place,436488,Civil Defence Public Shelter (MRT Station)
Marine Parade MRT Station (Thomson-East Coast Line),101 Marine Parade Road,449971,Civil Defence Public Shelter (MRT Station)
Marine Terrace MRT Station (Thomson-East Coast Line),304 Marine Parade Road,449970,Civil Defence Public Shelter (MRT Station)
Siglap MRT Station (Thomson-East Coast Line),1000 Marine Parade Road,449969,Civil Defence Public Shelter (MRT Station)
Bayshore MRT Station (Thomson-East Coast Line),31 Bayshore Road,469958,Civil Defence Public Shelter (MRT Station)
Fusionopolis One Parking carpark,1 Fusionopolis Way,138632,Civil Defence Public Shelter (Public Development)
The Atrium @ Orchard carpark ,60 Orchard Road,238889,Civil Defence Public Shelter (Public Development)
Civil Service College car park,31 North Buona Vista Road,275983,Civil Defence Public Shelter (Public Development)
Revenue House,55 Newton Road,307987,Civil Defence Public Shelter (Public Development)
Temasek Polytechnic,21 Tampines Avenue 1,529757,Civil Defence Public Shelter (Public Development)
Nanyang Polytechnic,180 Ang Mo Kio Avenue 8,569830,Civil Defence Public Shelter (Public Development)
BCA Academy,200 Braddell Road,579700,Civil Defence Public Shelter (Public Development)
Kent Ridge Secondary,147 West Coast Road,127368,Civil Defence Public Shelter (School)
Clementi Woods Secondary (Former),170 West Coast Road ,127443,Civil Defence Public Shelter (School)
New Town Secondary ,1020 Dover Road  ,139657,Civil Defence Public Shelter (School)
Queenstown Secondary ,1 Strathmore Road ,148800,Civil Defence Public Shelter (School)
Bukit Merah Secondary ,10 Lengkok Bahru ,159050,Civil Defence Public Shelter (School)
Henderson Secondary (Former),100 Henderson Road,159544,Civil Defence Public Shelter (School)
Anglo-Chinese School (Junior),16 Winstedt Road ,227988,Civil Defence Public Shelter (School)
Cresent Girls' Secondary ,357 Tanglin Road  ,247961,Civil Defence Public Shelter (School)
Hwa Chong Institution,661 Bukit Timah Road ,269734,Civil Defence Public Shelter (School)
Balestier Hill Secondary (Former),11  Novena Rise ,307516,Civil Defence Public Shelter (School)
Bendemeer Secondary ,1 Saint Wilfred Road ,327919,Civil Defence Public Shelter (School)
Cedar Girl�s School,1 Cedar Avenue ,349692,Civil Defence Public Shelter (School)
Bedok North Secondary (Former),20 Jalan Damai,419612,Civil Defence Public Shelter (School)
Dunman High ,10 Tanjong Rhu Rd ,436895,Civil Defence Public Shelter (School)
Tanjong Katong Girls' ,20 Dunman Lane ,437126,Civil Defence Public Shelter (School)
Tanjong Katong Secondary ,130 Haig Road ,438796,Civil Defence Public Shelter (School)
Temasek Secondary ,600 Upper East Coast Road,465561,Civil Defence Public Shelter (School)
Bedok South Secondary ,1 Jalan Langgar Bedok ,468585,Civil Defence Public Shelter (School)
Damai Secondary ,4800 Bedok Reservoir Road  ,479229,Civil Defence Public Shelter (School)
Meridian Secondary,31 Pasir Ris Street 51,518901,Civil Defence Public Shelter (School)
Pasir Ris Crescent Secondary,11 Pasir Ris Street 41 ,518934,Civil Defence Public Shelter (School)
Greenview Secondary (Former),15 Pasir Ris Street 21 ,518969,Civil Defence Public Shelter (School)
Siglap Secondary (Former),10 Pasir Ris Drive 10  ,519385,Civil Defence Public Shelter (School)
Junyuan Secondary ,11 Tampines Street 84  ,528933,Civil Defence Public Shelter (School)
East Spring Secondary,30 Tampines Street 34 ,529231,Civil Defence Public Shelter (School)
Ngee Ann Secondary ,1 Tampines Street 32 ,529283,Civil Defence Public Shelter (School)
Springfield Secondary ,30 Tampines Avenue 8 ,529593,Civil Defence Public Shelter (School)
Changkat Changi Secondary,23 Simei Street 3 ,529894,Civil Defence Public Shelter (School)
Hougang Secondary,2 Hougang Street 93 ,534256,Civil Defence Public Shelter (School)
Bartley Secondary ,10 Jalan Bunga Rampai,538403,Civil Defence Public Shelter (School)
Sengkang Secondary ,10 Compassvale Lane  ,545090,Civil Defence Public Shelter (School)
Zhonghua Secondary ,13 Serangoon Ave 3  ,556123,Civil Defence Public Shelter (School)
St Gabriel�s Secondary ,24 Serangoon Ave 1,556140,Civil Defence Public Shelter (School)
Anderson Secondary ,10 Ang Mo Kio Street 53 ,569206,Civil Defence Public Shelter (School)
Chong Boon Secondary (Former),2 Ang Mo Kio Street 44 ,569250,Civil Defence Public Shelter (School)
Deyi Secondary ,1 Ang Mo Kio Street 42,569277,Civil Defence Public Shelter (School)
Yio Chu Kang Secondary ,3063 Ang Mo Kio Avenue 5 ,569868,Civil Defence Public Shelter (School)
Peirce Secondary ,10 Sin Ming Walk  ,575566,Civil Defence Public Shelter (School)
Whitley Secondary ,30 Bishan Street 24 ,579747,Civil Defence Public Shelter (School)
Crest Secondary  ,561 Jurong East Street 24  ,609561,Civil Defence Public Shelter (School)
Boon Lay Secondary,11 Jurong West Street 65,648354,Civil Defence Public Shelter (School)
Pioneer Secondary (Former),21 Jurong West Street 81 ,649075,Civil Defence Public Shelter (School)
Hong Kah Secondary (Former) ,931 Jurong West Street 42  ,649370,Civil Defence Public Shelter (School)
Yusof Ishak Secondary,11 Bukit Batok Street 25  ,658712,Civil Defence Public Shelter (School)
